name,abbreviation,month,as_of_date,pop
Alabama,AL,may_2021,4/30/2021,17051
Alaska,AK,may_2021,5/31/2021,4487
Arizona,AZ,may_2021,5/31/2021,36266
Arkansas,AR,may_2021,5/31/2021,15898
California,CA,may_2021,6/2/2021,95107
Colorado,CO,may_2021,5/31/2021,13650
Connecticut,CT,may_2021,5/31/2021,8957
Delaware,DE,may_2021,5/31/2021,4267
Federal,US,may_2021,6/3/2021,144976
Florida,FL,may_2021,5/31/2021,80271
Georgia,GA,may_2021,6/1/2021,46296
Hawaii,HI,may_2021,5/31/2021,4134
Idaho,ID,may_2021,6/1/2021,7878
Illinois,IL,may_2021,5/31/2021,27313
Indiana,IN,may_2021,6/1/2021,23510
Iowa,IA,may_2021,5/31/2021,7680
Kansas,KS,may_2021,6/1/2021,8650
Kentucky,KY,may_2021,6/1/2021,9899
Louisiana,LA,may_2021,5/31/2021,13522
Maine,ME,may_2021,5/28/2021,1603
Maryland,MD,may_2021,11/30/2020,18426
Massachusetts,MA,may_2021,5/31/2021,6345
Michigan,MI,may_2021,5/31/2021,32698
Minnesota,MN,may_2021,5/25/2021,7251
Mississippi,MS,may_2021,5/31/2021,15532
Missouri,MO,may_2021,5/31/2021,23057
Montana,MT,may_2021,5/31/2021,3908
Nebraska,NE,may_2021,6/1/2021,5363
Nevada,NV,may_2021,6/1/2021,10640
New Hampshire,NH,may_2021,6/1/2021,2016
New Jersey,NJ,may_2021,5/31/2021,10722
New Mexico,NM,may_2021,5/31/2021,5708
New York,NY,may_2021,6/1/2021,31890
North Carolina,NC,may_2021,5/31/2021,28765
North Dakota,ND,may_2021,5/31/2021,1368
Ohio,OH,may_2021,5/25/2021,43014
Oklahoma,OK,may_2021,6/1/2021,21615
Oregon,OR,may_2021,6/1/2021,12098
Pennsylvania,PA,may_2021,5/31/2021,38868
Rhode Island,RI,may_2021,5/31/2021,2125
South Carolina,SC,may_2021,6/1/2021,15159
South Dakota,SD,may_2021,5/31/2021,3228
Tennessee,TN,may_2021,5/31/2021,20537
Texas,TX,may_2021,5/31/2021,117838
Utah,UT,may_2021,5/31/2021,5728
Vermont,VT,may_2021,5/28/2021,1261
Virginia,VA,may_2021,5/31/2021,23966
Washington,WA,may_2021,4/30/2021,14065
West Virginia,WV,may_2021,6/1/2021,4425
Wisconsin,WI,may_2021,5/28/2021,19271
Wyoming,WY,may_2021,1/31/2021,2133
