name,rate,state
Pennsylvania,27.3,PA
South Dakota,26.3,SD
Georgia,22.7,GA
Kentucky,17.4,KY
Minnesota,16.8,MN
Arkansas,15.7,AR
Louisiana,14.2,LA
Montana,12.4,MT
Tennessee,12.3,TN
West Virginia,11.6,WV
Mississippi,11.5,MS
North Carolina,10.7,NC
Utah,10,UT
Colorado,10,CO
Nebraska,9.7,NE
North Dakota,9.2,ND
Michigan,9,MI
Wyoming,9,WY
Wisconsin,8.8,WI
Missouri,8.6,MO
Arizona,8.4,AZ
Texas,5.8,TX
Iowa,5.5,IA
Oklahoma,5.1,OK
Kansas,4.8,KS
Idaho,4.3,ID
Ohio,4.3,OH
South Carolina,4,SC
Rhode Island,3.6,RI
Illinois,2.6,IL
Delaware,2.2,DE
Florida,1.4,FL
New York,0.8,NY
California,0,CA
Virginia,-0.3,VA
Oregon,-0.6,OR
Connecticut,-1.6,CT
Alaska,-3.1,AK
Washington,-3.2,WA
Indiana,-3.7,IN
Hawaii,-3.9,HI
New Jersey,-5.6,NJ
New Mexico,-5.6,NM
Massachusetts,-6,MA
Maine,-6.4,ME
Nevada,-7.2,NV
New Hampshire,-7.4,NH
Alabama,-10.1,AL
Maryland,-12,MD
Vermont,-16.3,VT
