data_year,population,total_agency_count,published_agency_count,active_agency_count,covered_agency_count,population_covered,agency_count_nibrs_submitting,agency_count_leoka_submitting,agency_count_pe_submitting,agency_count_srs_submitting,agency_count_supp_submitting,nibrs_population_covered
2020,332643466,18623,15875,21286,14,20758,9991,10130,15911,5963,15007,52.893044
2019,331433049,18674,15334,21325,17,18828,9042,8716,15345,7595,15810,47.437744
2018,330362587,18558,15281,21225,39,18737,7876,7291,15292,8117,15642,39.84459
2017,329104541,18473,16427,21122,29,51097,7194,6845,16433,9303,15608,33.238674
2016,323133428,18467,16933,21074,28,111631,7114,6549,16939,9887,15799,32.6274
2015,321418820,18435,16822,21000,20,40665,6854,6388,16824,10000,15665,31.069702
2014,318857056,18492,16629,20882,7,32102,6704,6065,16630,9947,15409,30.006725
2013,316128839,18409,16665,20757,19,28061,6497,5463,16666,10115,15467,29.641846
2012,313914040,18295,16619,20611,19,116631,6356,5197,16622,10257,15438,29.32204
2011,311591917,18241,16469,20460,12,88075,6085,5013,16472,10393,15173,28.438803
2010,308745538,18145,16453,20343,7,14172,5971,4799,16456,10474,15092,27.768267
2009,307006550,18037,15958,20202,40,16269,5912,4592,15961,9991,15032,26.886824
2008,304059724,17976,15681,20071,31,54330,5561,3497,15683,10189,14836,26.053692
2007,301621157,17918,15631,19966,15,15235,5280,3251,15633,10375,14710,25.078674
2006,299398484,17725,15252,19764,13,20373,5150,3137,15254,10133,14135,24.42608
2005,296410404,17459,14619,19459,6,6691,4979,2998,14621,9717,14131,23.802935
2004,293655404,17502,14657,19484,18,12131,4812,2764,14658,9874,14030,22.271782
2003,290809777,17384,14140,19344,22,14710,4521,2018,14141,9653,13788,21.073965
2002,288368698,17327,13950,19206,3,3620,4057,1653,13951,9970,13476,19.552065
2001,284796887,16974,13415,18839,6,4307,3798,1509,13416,9681,13063,18.57362
2000,281421906,16831,13259,18718,10,40475,3585,1381,13260,9725,12762,17.36154
1999,272691000,17337,12707,19074,5,6591,2991,1309,12709,9878,12399,14.919631
1998,270296000,17077,12219,18809,5,7192,2980,1055,12220,9901,11910,13.770951
1997,267637000,17110,12383,18911,10,4751,2092,839,12384,10494,11685,10.664836
1996,265284000,16795,12092,18496,9,61630,1638,774,12093,10578,11767,8.920065
1995,262754000,16776,12866,18442,6,34146,1368,704,12867,11589,12666,6.9890513
1994,260341000,16658,13080,18328,5,12685,1654,670,13081,12157,12876,7.448451
1993,257904000,16517,13029,18155,3,10033,1590,429,13030,12354,12855,7.181054
1992,255081000,16325,13910,17972,9,12769,1055,414,13911,13274,13160,5.597615
1991,252181000,16167,13764,17812,14,23583,717,331,13765,13453,12988,4.799499
1990,248709873,15870,13920,17569,12,61836,2,1,13921,13905,13443,0.07125178
1989,248248537,15753,14116,17392,16,21899,0,0,14117,14098,13196,0
1988,245812846,15653,12904,17272,12,40436,0,0,12905,12890,12961,0
1987,243406923,15951,14063,17504,9,30247,0,0,14064,14052,13829,0
1986,241083074,16028,14140,17419,11,89029,0,0,14141,14127,13921,0
1985,238744457,15879,14081,17245,23,64182,0,0,14082,14056,13870,0
1984,236166448,15771,13901,17015,16,23274,0,0,13902,13884,13699,0
1983,233984801,15762,13748,16893,16,127650,0,0,13752,13734,13529,0
1982,234719221,15680,13831,16786,32,71619,0,0,13832,13798,13622,0
1981,232330068,15697,14173,16605,34,50483,0,0,14174,14138,13745,0
1980,228335365,15555,14151,16405,37,49789,0,0,14155,14116,13673,0
1979,223093000,15449,14032,16169,15,19852,0,0,14036,14019,13807,0
